"ACCESSION_NUMBER","ID","PERSONSIGNATURE","PERSONTITLE","SIGNATUREDATE"
"0001777476-20-000003",2,"Christos Gourmos","Co-Founder, Co-CEO","2020-04-22"
"0001716813-20-000002",1,"Marlin Miller","COO & CFO","2019-04-29"
"0001810132-20-000002",1,"Grace Affeltranger","Owner","2020-04-22"
"0001670254-20-000278",2,"Michael Gorton","CEO and Co-founder","2020-04-21"
"0001670254-20-000279",2,"Diane D'Erasmo","Board Director","2020-04-18"
"0001670254-20-000279",1,"Katherine Kalin","Board Director","2020-04-19"
"0001670254-20-000280",2,"Mehrdad Arjmand","Co-Founder/CEO","2020-04-20"
"0001670254-20-000280",1,"Aaron Olson","Co-Founder/CEO","2020-04-20"
"0001793079-20-000002",1,"/s/ Edward Lerner","CEO, Director","2020-04-21"
"0001670254-20-000277",2,"Jesse Nunez","Founder / Executive Producer, Marine Corps Veteran","2020-04-20"
"0001670254-20-000277",1,"Scott Sinclair","Director","2020-04-20"
"0001670254-20-000279",4,"Francisco Gomez","Co-Founder - CEO","2020-04-17"
"0001670254-20-000279",3,"Andrei Volgin","Co-Founder - CTO","2020-04-17"
"0001670254-20-000278",1,"Danielle Roosa","Chief Communication Officer","2020-04-21"
"0001665160-20-000354",1,"Cornell Christanson","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2020-04-21"
"0001665160-20-000352",1,"Cornell Christanson","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2020-04-21"
"0001670254-20-000275",1,"Andres Araya","Managing Member","2020-04-21"
"0001665160-20-000350",2,"Deborah Beardsley","Principal Financial Officer, Principal Accounting Officer and Director","2020-04-21"
"0001665160-20-000350",1,"George Beardsley","CEO, Principal Executive Officer and Director","2020-04-21"
"0001670254-20-000274",1,"Chris Yerbey","Founder and CEO","2020-04-17"
"0001665160-20-000348",1,"Cornell Christianson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-21"
"0001665160-20-000347",1,"Cornell Christianson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-21"
"0001665160-20-000345",1,"Cornell Christianson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-21"
"0001796599-20-000001",1,"/s/ Jewel Zimmer","CEO, Director","2020-04-21"
"0001726537-20-000002",1,"Amy Dannemiller","Manager","2020-04-21"
"0001726537-20-000002",2,"Scot Crow","Manager","2020-04-21"
"0001669191-20-000185",1,"Benjamin White","Principal Executive Officer","2020-04-21"
"0001669191-20-000185",3,"Benjamin White","Principal Accounting Officer","2020-04-21"
"0001669191-20-000185",2,"Benjamin White","Principal Financial Officer","2020-04-21"
"0001669191-20-000185",4,"Benjamin White","Board Member","2020-04-21"
"0001669191-20-000183",2,"James Harris","Principal Financial Officer","2020-04-21"
"0001669191-20-000183",1,"Nikolaos Tezapsidis","Principal Executive Officer","2020-04-21"
"0001669191-20-000183",4,"Nikolaos Tezapsidis","Board Member","2020-04-21"
"0001669191-20-000183",3,"James Harris","Principal Accounting Officer","2020-04-21"
"0001669191-20-000183",8,"George Perry","Board Member","2020-04-21"
"0001669191-20-000183",7,"Thomas Humphries","Board Member","2020-04-21"
"0001669191-20-000183",6,"Bob Oliver","Board Member","2020-04-21"
"0001669191-20-000183",5,"James Harris","Board Member","2020-04-21"
"0001726635-20-000001",1,"Obi Omile Jr","Chief Executive Officer","2020-04-20"
"0001785176-20-000001",1,"Sumaya Lakis","CEO and Board Chair","2020-04-21"
"0001713938-20-000001",2,"Kelly Wegner","Member","2020-04-21"
"0001713938-20-000001",1,"Dean Wegner","President","2020-04-21"
"0001751635-20-000004",2,"Teresa Cauvel","CTO","2020-04-21"
"0001751635-20-000004",1,"Sona Shah","CEO","2020-04-21"
"0001801721-20-000003",1,"/s/ Mark Voysey","CEO","2020-04-21"
"0001751635-20-000002",1,"Sona Shah","CEO","2020-04-21"
"0001751635-20-000002",2,"Teresa Cauvel","CTO","2020-04-21"
"0001670254-20-000272",1,"Anthony Lucas","CEO","2020-04-16"
"0001670254-20-000270",3,"Matt Miller","Executive Producer","2020-03-24"
"0001670254-20-000270",2,"Mari Walker","Vice President","2020-04-09"
"0001670254-20-000270",1,"Mia Schulman","Treasurer","2020-04-10"
"0001670254-20-000266",1,"Saru Jayaraman","Founder","2020-04-10"
"0001670254-20-000267",3,"Sourabh Kothari","CEO, CFO, CMO","2020-04-13"
"0001670254-20-000267",2,"Andrew Brazier","CPO","2020-04-13"
"0001670254-20-000267",1,"Daniel Cunningham","CTO","2020-04-13"
"0001670254-20-000265",2,"Afshan Abbas","CEO","2020-04-09"
"0001670254-20-000265",1,"Rameez Sajwani","CTO","2020-04-09"
"0001799979-20-000002",2,"/s/ Lisa Zhan","Manager","2020-04-20"
"0001799979-20-000002",1,"/s/ Minchul An","Manager","2020-04-20"
"0001665160-20-000342",1,"Diana Sabacinski","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-20"
"0001670254-20-000262",2,"Paul Allen","Founder and CEO","2020-03-13"
"0001670254-20-000262",1,"Christen Allen","Board Member","2020-03-16"
"0001670254-20-000271",2,"Kevin Shaw","co-CEO","2020-04-17"
"0001670254-20-000271",1,"Esther Kibreab","co-CEO","2020-04-17"
"0001665160-20-000340",1,"David Chasasen","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-20"
"0001774152-20-000001",3,"/s/Hanchao Yue","Director","2020-04-20"
"0001774152-20-000001",1,"/s/Jiannan Zhang","Director, Chief Executive Officer and Secretary","2020-04-20"
"0001774152-20-000001",2,"/s/Peiying Wang","Director","2020-04-20"
"0001665160-20-000338",1,"Karlos Walkes","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-20"
"0001708246-20-000005",2,"/s/ Andrei Evulet","CTO & President","2020-04-20"
"0001708246-20-000005",3,"/s/ Denis Dancanet","CEO","2020-04-20"
"0001708246-20-000005",1,"/s/ Simina Farcasiu","CFO","2020-04-20"
"0001810132-20-000001",1,"Grace Affeltranger","Owner","2020-04-20"
"0001746059-20-000118",1,"Majora Carter","Owner and Founder","2020-04-20"
"0001746059-20-000117",1,"Moikgantsi Kgama","Owner and Founder","2020-04-20"
"0001665160-20-000332",1,"Alicia Driskill","CEO and Founder, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer, EvolveHer","2020-04-20"
"0001787677-20-000001",2,"Jaime van Schyndel","President","2020-04-20"
"0001787677-20-000001",1,"Lucy R Valena","CEO","2020-04-20"
"0001665160-20-000330",1,"Ray Phillips","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-20"
"0001777204-20-000002",1,"SIQI MOU","CEO","2020-04-20"
"0001665160-20-000328",2,"Susannah Thorarinsson","Treasurer and Finance Controller, Principal Finance Officer and Principal Accounting Officer","2020-04-20"
"0001665160-20-000328",1,"Joshua Goldstein","President and CEO, Principal Executive Officer and Director","2020-04-20"
"0001788935-20-000001",1,"David Schacter","CEO / Founder","2020-04-20"
"0001668287-20-000010",1,"Alan Barber","CEO","2020-04-20"
"0001746059-20-000116",1,"Jose DeSouza","Owner and CoFounder","2020-04-20"
"0001746059-20-000116",2,"Selma DeSouza","Owner and CoFounder","2020-04-20"
"0001793813-20-000001",3,"/s/ Pedro Garcia","Director","2020-04-20"
"0001793813-20-000001",2,"/s/ Angel Arturo Banuelos Santana","Director","2020-04-20"
"0001793813-20-000001",1,"/s/ Jorge Luis Caballero","CEO, Director","2020-04-20"
"0001792115-20-000003",1,"Joshua Carr","President","2020-04-20"
"0001792115-20-000002",1,"Joshua Carr","President","2020-04-20"
"0001809729-20-000005",1,"Anthony Thompson II","Co-Owner","2020-04-20"
"0001809729-20-000003",1,"Brendon Hudson","Owner","2020-04-20"
"0001777060-20-000001",5,"Spencer Yee","Director","2020-04-20"
"0001777060-20-000001",4,"Fred Dawe","Director","2020-04-20"
"0001777060-20-000001",2,"Robert Whitten","Chief Financial Officer and Treasurer","2020-04-20"
"0001777060-20-000001",1,"Donald Amason","Manager and Chief Executive Officer","2020-04-20"
"0001777060-20-000001",3,"Daniel McNicoll","Head of Production and Director","2020-04-20"
"0001809869-20-000001",2,"Alan Becker","Chief Product Officer, principal executive officer, principal financial officer, controller, board of directors","2020-04-17"
"0001809869-20-000001",1,"Jonathan Stern","CEO, principal executive officer, principal financial officer, controller, board of directors","2020-04-17"
"0001809869-20-000001",3,"Francis Upton IV","CTO, principal executive officer, principal financial officer, controller, board of directors","2020-04-17"
"0001746059-20-000115",1,"Aaron Mizen","Owner and Founder","2020-04-17"
"0001665160-20-000325",1,"Andrew Fitzgerald","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-17"
"0001670254-20-000258",3,"Matt Smith","CEO, Founder","2020-04-16"
"0001670254-20-000258",2,"Mark Morrisson","Director","2020-04-16"
"0001670254-20-000258",1,"Peter A. Christoff","Director","2020-04-16"
"0001670254-20-000256",2,"Jonathan Mogor","Founder and CEO","2020-04-16"
"0001670254-20-000256",1,"Carol Mogor","VP","2020-04-16"
"0001104659-20-048173",1,"/s/ Paul Scanlan","Co-Founder, Chief Executive Officer, Chief Financial Officer, Treasurer, and Director","2020-04-17"
"0001104659-20-048173",2,"/s/ Jeff Annison","Director","2020-04-17"
"0001665160-20-000323",1,"Allan Grosvenor","CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2020-04-17"
"0001809401-20-000002",1,"Librado Cerda","Owner/General Manager","2020-04-16"
"0001809401-20-000001",1,"Andre Christopher Barnes","President/CEO","2020-04-16"
"0001665160-20-000321",1,"Dmitry Skorinko","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-16"
"0001670254-20-000254",1,"Chris Bolman","Chief Executive Officer","2020-04-16"
"0001665160-20-000319",1,"Steven Naremore","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-16"
"0001809918-20-000001",1,"Sherree Goldstein","Owner/President","2020-04-16"
"0001665160-20-000317",1,"Andy Pandharikar","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-16"
"0001665160-20-000316",1,"/s/ Howard Marks","Chief Executive Officer, Chief Financial Officer, Chief Accounting Officer and Director","2020-04-16"
"0001665160-20-000316",2,"/s/ Ronald Miller","Director and Chairman","2020-04-16"
"0001731540-20-000002",1,"Jonathan","Chashper","2020-04-16"
"0001670254-20-000253",2,"Nathan Whitehouse","CEO","2020-04-09"
"0001670254-20-000253",1,"Peter Nevenglosky","Co-Founder","2020-04-09"
"0001746059-20-000114",1,"Elizabeth Castellana","Owner and Founder","2020-04-16"
"0001746059-20-000113",1,"David Collins","Owner and Manager","2020-04-16"
"0001746059-20-000112",1,"Francis Broadberry","Owner and Manager","2020-04-16"
"0001746059-20-000111",1,"Louisa Green","Owner and Manager","2020-04-16"
"0001809729-20-000001",1,"Brendon Hudson","Owner","2020-04-16"
"0001730741-20-000001",2,"Daniel Pianetti","Director","2020-04-15"
"0001730741-20-000001",1,"Charles Broskoski","Director","2020-04-15"
"0001745727-20-000004",1,"/s/Taylor Jacobson","Director","2020-04-15"
"0001745727-20-000003",1,"/s/Taylor Jacobson","Director","2020-04-15"
"0001746059-20-000109",1,"Nader Izzatali","Owner and Founder","2020-04-15"
"0001670254-20-000252",1,"Peter Nevenglosky","Co-Founder","2020-04-08"
"0001670254-20-000252",2,"Nathan Whitehouse","CEO","2020-04-08"
"0001670254-20-000247",1,"Allan Forsey","Treasurer and Secretary","2020-03-19"
"0001670254-20-000247",2,"Danny Robinson","Founder & CEO of Hoop Tea","2020-03-19"
"0001665160-20-000314",1,"David Obasiolu","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-15"
"0001741753-20-000002",1,"Paula Dezzutti","CEO","2020-04-15"
"0001805081-20-000002",1,"Michael Counts","Founder and Managing Member","2020-04-15"
"0001805081-20-000002",2,"Sara Ellis Conant","Founder, CEO, and Managing Member","2020-04-15"
"0001765748-20-000004",2,"Lisa Barlow","Member","2020-04-14"
"0001765748-20-000004",1,"John Barlow","Member","2020-04-14"
"0001780439-20-000012",1,"Curtis Richard Wood","CEO","2020-04-14"
"0001780439-20-000012",10,"Carlton Lamar Robinson","Director, Board Member","2020-04-14"
"0001780439-20-000012",9,"Suzanne Marie Bearry","Director, EVP Channel Partners","2020-04-14"
"0001780439-20-000012",8,"Munir Ramzam Valiani","Director, CFO","2020-04-14"
"0001780439-20-000012",7,"Matthew James Offers","Director, EVP","2020-04-14"
"0001780439-20-000012",2,"Cynthia Maylon Wood","COO","2020-04-14"
"0001780439-20-000012",3,"David Braun","Director, General Counsel","2020-04-14"
"0001780439-20-000012",4,"Dwight Andrew Skyers","Director, EVP","2020-04-14"
"0001780439-20-000012",5,"Holly Kathleen Davis","Director, CTO","2020-04-14"
"0001780439-20-000012",6,"Kristin Marie Scheurer","Director, CMO","2020-04-14"
"0001774075-20-000001",1,"Fred McGill","Director","2020-04-14"
"0001774075-20-000001",2,"Jeremy Gamble","Director","2020-04-14"
"0001774075-20-000001",3,"Randall Lee McGill","Director","2020-04-14"
"0001796790-20-000001",1,"/s/ Temur Rayter","Director","2020-04-14"
"0001796790-20-000001",2,"/s/ Vitalii Levchenko","CEO, Director","2020-04-14"
"0001802569-20-000002",3,"John Suh","Managing Member","2020-04-09"
"0001802569-20-000002",2,"Christine Ha","Managing Member","2020-04-09"
"0001802569-20-000002",1,"Tony Nguyen","Managing Member","2020-04-09"
"0001104659-20-046344",1,"/s/ Matthew Godley","CEO","2020-04-14"
"0001665160-20-000313",1,"Marty Reed","CEO, Founder, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-14"
"0001665160-20-000313",2,"Lyden Henderson","Chief Operating Officer, Cofounder, and Treasurer of the Board","2020-04-14"
"0001665160-20-000313",3,"Greg Haap","General Manager, Cofounder, and Secretary of the Board","2020-04-14"
"0001665160-20-000312",1,"David Bean","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-14"
"0001791548-20-000002",2,"Adriana Grow","Manager and Secretary","2020-04-14"
"0001791548-20-000002",3,"Alexander Grow","Manager and CEO","2020-04-14"
"0001791548-20-000002",1,"Naomi Victoria Chavez","Manager and Head of Operations","2020-04-14"
"0001665160-20-000311",1,"Lior Shafir","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-14"
"0001775091-20-000002",1,"Willard L. Jackson Jr., by Sean Fuellhart POA","CEO","2020-04-14"
"0001746059-20-000108",1,"Tayo Bailey-Duvall","Owner and Manager","2020-04-14"
"0001799584-20-000004",2,"/s/ Emily Kenney","COO & Director","2020-04-13"
"0001799584-20-000004",1,"/s/ Erin Houston","CEO & Director","2020-04-13"
"0001669191-20-000181",4,"Yuting Su","Board Member","2020-04-13"
"0001669191-20-000181",3,"Yuting Su","Principal Accounting Officer","2020-04-13"
"0001669191-20-000181",2,"Yuting Su","Principal Financial Officer","2020-04-13"
"0001669191-20-000181",1,"Yuting Su","Principal Executive Officer","2020-04-13"
"0001669191-20-000178",3,"Shawn Rudnick","Principal Accounting Officer","2020-04-13"
"0001669191-20-000178",1,"Shawn Rudnick","Principal Executive Officer","2020-04-13"
"0001669191-20-000178",2,"Shawn Rudnick","Principal Financial Officer","2020-04-13"
"0001669191-20-000178",4,"Shawn Rudnick","Board Member","2020-04-13"
"0001669191-20-000178",5,"Vaughan Dugan","Board Member","2020-04-13"
"0001665160-20-000310",1,"Aja Atwood","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2020-04-13"
"0001665160-20-000307",1,"Chris Bradley","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-13"
"0001669191-20-000173",3,"Pierre  Rogers","Board Member","2020-04-13"
"0001669191-20-000173",1,"Pierre  Rogers","Principal Executive Officer","2020-04-13"
"0001669191-20-000173",2,"Jonathan Cooper","Board Member","2020-04-13"
"0001805018-20-000007",2,"Ted Ridgway","Director","2020-04-13"
"0001805018-20-000007",1,"Dr. Arup Roy-Burman","Director","2020-04-13"
"0001665160-20-000306",1,"Chris Outwater","CEO, Principal Executive Officer and Director","2020-04-13"
"0001665160-20-000306",2,"Timothy A. Hylas","Principal Financial Officer and Principal Accounting Officer","2020-04-13"
"0001796060-20-000006",2,"Michelle Loyd","Founder, Manager, and Chief Product Officer","2020-04-13"
"0001796060-20-000006",1,"Michael Loyd","Founder, Manager, and Chief Executive Officer","2020-04-13"
"0001794960-20-000002",1,"/s/ Kimberly Carney","Director","2020-04-13"
"0001670254-20-000241",2,"Smari Asmundsson","CEO","2020-04-09"
"0001670254-20-000245",1,"Allan Forsey","Treasurer and Secretary","2020-03-19"
"0001670254-20-000245",2,"Danny Robinson","Founder & CEO of Hoop Tea","2020-03-19"
"0001665160-20-000305",2,"Natalia Sokolova","Director, president and controller","2020-04-10"
"0001665160-20-000305",1,"Gary Kleinman","CEO, Principal Executive Officer, and Director","2020-04-10"
"0001670254-20-000243",1,"Christopher Brian Reimers","Manager","2020-04-10"
"0001670254-20-000241",1,"Kenneth Burke","Board Member","2020-04-09"
"0001670254-20-000243",2,"Russ Vering","Vice President","2020-04-10"
"0001670254-20-000243",3,"Paul Koenig","Chief Executive Officer","2020-04-10"
"0001808580-20-000001",4,"Garrett Imeson","CMO, issuer, principal executive officer, principal financial officer, controller and/or principal accounting officer","2020-04-10"
"0001808580-20-000001",7,"Trevor Pettennude","Director, issuer, principal executive officer, principal financial officer, controller and/or principal accounting officer","2020-04-10"
"0001808580-20-000001",6,"Patrick Imeson","Director, issuer, principal executive officer, principal financial officer, controller and/or principal accounting officer","2020-04-10"
"0001808580-20-000001",5,"Parker Imeson","COO, issuer, principal executive officer, principal financial officer, controller and/or principal accounting officer","2020-04-10"
"0001808580-20-000001",3,"Jessica Dyer","CFO/Secretary, issuer, principal executive officer, principal financial officer, controller and/or principal accounting officer","2020-04-10"
"0001808580-20-000001",2,"Bruce Cunningham","Director/President, issuer, principal executive officer, principal financial officer, controller and/or principal accounting officer","2020-04-10"
"0001808580-20-000001",1,"Rob Imeson","Director/CEO, issuer, principal executive officer, principal financial officer, controller and/or principal accounting officer","2020-04-10"
"0001670254-20-000240",2,"Nathan Whitehouse","CEO","2020-04-08"
"0001670254-20-000240",1,"Peter Nevenglosky","Co-Founder","2020-04-08"
"0001670254-20-000237",3,"Mark Ciociola","Founder / Chief Executive Officer","2020-04-10"
"0001670254-20-000237",2,"Stephen Paris","Chief Financial Officer","2020-04-10"
"0001670254-20-000237",1,"Gerald Fitz-Gerald III","Chief Marketing Officer","2020-04-10"
"0001802566-20-000001",2,"Craig Eddy","Managing Member","2020-04-10"
"0001802566-20-000001",1,"Darrin Lipscomb","principal executive officer, principal financial officer, principal accounting officer and Managing Member","2020-04-10"
"0001794485-20-000003",1,"Avery Michaelson","Founder & CEO","2020-04-10"
"0001665160-20-000303",1,"David Allred","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-10"
"0001647487-20-000003",1,"Pia Carusone","CEO & Board Chair","2020-04-10"
"0001647487-20-000003",3,"Giovanna Lockhart","Board Member","2020-04-01"
"0001647487-20-000003",2,"Geoff Mina","Board Member","2020-04-10"
"0001669191-20-000171",4,"John Fanning Jr","Board Member","2020-04-10"
"0001669191-20-000171",2,"John Fanning Jr","Principal Financial Officer","2020-04-10"
"0001669191-20-000171",1,"John Fanning Jr","Principal Executive Officer","2020-04-10"
"0001669191-20-000171",3,"John Fanning Jr","Principal Accounting Officer","2020-04-10"
"0001796060-20-000005",2,"Michelle Loyd","Founder, Manager, and Chief Product Officer","2020-04-09"
"0001796060-20-000005",1,"Michael Loyd","Founder, Manager, and Chief Executive Officer","2020-04-09"
"0001670254-20-000232",2,"Nathan Whitehouse","CEO","2020-04-08"
"0001670254-20-000232",1,"Peter Nevenglosky","Co-Founder","2020-04-08"
"0001665160-20-000301",1,"Patrick Sherwin","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-09"
"0001794611-20-000001",1,"/s/ Jeffrey O'Neill","CEO, Director","2020-04-09"
"0001736304-20-000001",1,"Christinia Marc","Admin Manager","2020-04-09"
"0001554477-20-000004",4,"Heath Freeman","Director","2020-04-09"
"0001554477-20-000004",3,"Tiki Barber","Director","2020-04-09"
"0001554477-20-000004",2,"Mark Gerson","Director","2020-04-09"
"0001554477-20-000004",1,"Jared Augustine","Director","2020-04-09"
"0001807930-20-000002",1,"Benjamin James","Owner","2020-04-09"
"0001803497-20-000004",1,"Lauren McMillen","Owner","2020-04-09"
"0001800155-20-000003",1,"Joshua Ingraham","Owner","2020-04-08"
"0001738026-20-000002",1,"Joe Anderson","Sole Manager/Chief Executive Officer","2020-04-08"
"0001796060-20-000004",1,"Michael Loyd","Founder, Manager, and Chief Executive Officer","2020-04-08"
"0001796060-20-000004",2,"Michelle Loyd","Founder, Manager, and Chief Product Officer","2020-04-08"
"0001796060-20-000003",1,"Michael Loyd","Founder, Manager, and Chief Executive Officer","2020-04-08"
"0001796060-20-000003",2,"Michelle Loyd","Founder, Manager, and Chief Product Officer","2020-04-08"
"0001800155-20-000002",1,"Valarie Ross","Co-Owner","2020-04-08"
"0001736283-20-000004",1,"Connor Young","Director","2020-04-08"
"0001796060-20-000001",1,"Michael Loyd","Founder, Manager, and Chief Executive Officer","2020-04-08"
"0001796060-20-000001",2,"Michelle Loyd","Founder, Manager, and Chief Product Officer","2020-04-08"
"0001794484-20-000002",1,"Manuela Seve","Chief Executive Officer, Director, Chairman of the Board and President","2020-04-08"
"0001794484-20-000002",2,"Renata Thome","Chief Operating Officer, Director, Treasurer and Secretary","2020-04-08"
"0001805075-20-000003",1,"Adrian Scheeren","Co-Owner","2020-04-08"
"0001806194-20-000002",1,"Andrea Doyle-Calcagno","Co-Owner","2020-04-08"
"0001753666-20-000002",1,"Jay Readey","President of NeighborScapes, NFP, the Manager","2020-04-07"
"0001753666-20-000001",1,"Jay Readey","President of NeighborScapes, NFP, the Manager","2020-04-07"
"0001665160-20-000299",3,"Nikolay Shkolnik","CTO, Director","2020-04-07"
"0001665160-20-000299",2,"Per Suneby","Director, SVP - Corporate Development","2020-04-07"
"0001665160-20-000299",1,"Alexander Shkolnik","President and CEO, Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer, and Director","2020-04-07"
"0001669191-20-000164",1,"Jason Ozur","Principal Executive Officer","2020-04-07"
"0001669191-20-000164",6,"Blair Buick","Board Member","2020-04-07"
"0001669191-20-000164",5,"Floyd Kephart","Board Member","2020-04-07"
"0001669191-20-000164",7,"Jason Ozur","Board Member","2020-04-07"
"0001669191-20-000164",2,"Candice  Rauter","Principal Financial Officer","2020-04-07"
"0001669191-20-000164",3,"Candice  Rauter","Principal Accounting Officer","2020-04-07"
"0001669191-20-000164",4,"Candice  Rauter","Board Member","2020-04-07"
"0001804161-20-000001",1,"Heidi Zorn by Sean Fuellhart POA","Managing Member","2020-04-07"
"0001746059-20-000107",1,"Yu Ling Mark Davis","Owner and Manager","2020-04-07"
"0001802485-20-000003",1,"Anthony E Thompson","Co-Owner","2020-04-06"
"0001665160-20-000298",1,"Maya Parbhoe","CEO, Principal Executive Officer and Director","2020-04-06"
"0001665160-20-000298",2,"Zeenat William","Principal Financial Officer and Principal Accounting Officer","2020-04-06"
"0001791847-20-000001",2,"Jeremiah Calvino","Director","2020-04-06"
"0001791847-20-000001",1,"Benjamin Camp","CEO, Director","2020-04-06"
"0001665160-20-000297",1,"Jason Brown","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-06"
"0001665160-20-000296",2,"Jill Salomone","Co-Founder, CEO, Principal Executive Officer and Director","2020-04-06"
"0001665160-20-000296",1,"Paul Salomone","COO, Co-Founder, Director, Principal Financial Officer and Principal Accounting Officer","2020-04-06"
"0001665160-20-000295",1,"Jason Giddings","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-06"
"0001665160-20-000294",3,"Cynthia P. Baron","Principal Financial Officer and Principal Accounting Officer","2020-04-06"
"0001665160-20-000294",2,"Edgar D. McKean III","Director","2020-04-06"
"0001665160-20-000294",1,"Brian Gale","CEO, Principal Executive Officer and Director","2020-04-06"
"0001665160-20-000293",1,"Matt Westover","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2020-04-06"
"0001789369-20-000002",1,"Caroll Lee","Manager","2020-04-06"
"0001807930-20-000001",1,"Ben James","Owner","2020-04-06"
"0001706429-20-000002",1,"Roxane Mollicchi","CEO, Sole Member","2020-04-06"
"0001746059-20-000105",1,"Yu Ling Mark Davis","Owner and Manager","2020-04-06"
"0001595734-20-000001",2,"Kyoko Watanabe","Board Member","2020-04-03"
"0001595734-20-000001",1,"Alex Fedosseev","Board Member","2020-04-03"
"0001670254-20-000231",2,"Alexander Finden","Co-Founder, COO","2020-03-27"
"0001670254-20-000231",1,"Rob Whitehair","Co-Founder, CEO","2020-03-27"
"0001595734-20-000001",3,"Vladimir Tyurenkov","Board Member","2020-04-03"
"0001709844-20-000001",1,"Anja Bump","CEO, principal executive officer, principal financial officer, controller, board of directors","2020-04-03"
"0001670254-20-000229",1,"Adryan Brown","Owner","2020-04-02"
"0001670254-20-000228",1,"Sarah Buxbaum","Founder & CEO","2020-03-26"
"0001779569-20-000002",1,"Srinivasa Katta","Founder & CEO","2020-04-03"
"0001670254-20-000227",1,"Christian Braun","CEO","2020-03-23"
"0001670254-20-000225",2,"Michael C Thorby","Chief Executive Officer","2020-04-02"
"0001670254-20-000225",1,"Rodney Derric Hicks","Vice President","2020-04-02"
"0001795289-20-000004",4,"/s/ Jonathan Restelli","Co-Founder, CEO","2020-04-03"
"0001795289-20-000004",3,"/s/ Adam Holub","Co-Founder, President","2020-04-03"
"0001795289-20-000004",2,"/s/ Andrew Harmon","Co-Founder, CTO","2020-04-03"
"0001795289-20-000004",1,"/s/ Brian Holub","Co-Founder, CIO","2020-04-03"
"0001746059-20-000104",1,"Jon Griffin","Co-founder","2020-04-03"
"0001746059-20-000104",2,"Abigail O'Leary","Co-founder","2020-04-03"
"0001651835-20-000003",1,"Kevin Cash","Director","2020-04-01"
"0001651835-20-000003",2,"Don Coffey","Director","2020-04-01"
"0001746059-20-000102",1,"Anthony Frontera","Owner and President","2020-04-02"
"0001672614-20-000003",1,"Omid Shokraee","Attorney in Fact","2020-04-02"
"0001672614-20-000002",1,"Omid Shokraee","Attorney in Fact","2020-04-02"
"0001665160-20-000291",3,"Dan Coffman","Chairman of the Board","2020-04-02"
"0001665160-20-000291",1,"Harry R. Kraatz","CEO, Principal Executive Officer and Director","2020-04-02"
"0001665160-20-000291",2,"Tom Kraatz","Principal Financial Officer and Principal Accounting Officer","2020-04-02"
"0001805122-20-000002",1,"Jeremy Petway","Owner","2020-04-02"
"0001670254-20-000223",2,"Jim Higdon","Co-founder & CCO","2020-04-01"
"0001670254-20-000223",1,"Eric Zipperle","Co-founder and CEO","2020-04-01"
"0001746059-20-000101",1,"Justin Korby","Owner and Founder","2020-04-01"
"0001805122-20-000001",1,"Jeremy Petway","Owner","2020-04-01"
"0001670254-20-000220",1,"Khaled Kteily","CEO","2020-03-31"
"0001692429-20-000004",5,"Jim Sauer","Treasurer","2020-04-01"
"0001692429-20-000004",6,"James Lovett","Board member, Compensation Committee Member","2020-04-01"
"0001692429-20-000004",4,"Elgar Peerschke","CEO & Board Member","2020-04-01"
"0001692429-20-000004",3,"Warren Thaler","Board Member","2020-04-01"
