"ACCESSION_NUMBER","ID","ISSUER","ISSUERSIGNATURE","ISSUERTITLE"
"0001670254-21-000074",1,"LAWRENCEVILLE PLASMA PHYSICS, INC.","Eric J. Lerner","President and Chief Scientist"
"0001665160-21-000130",1,"Thirty Three Threads, Inc. d/b/a ToeSox d/b/a Tavi Noir","Gill Hong","CEO, Principal Executive Officer and Director"
"0001815319-21-000001",1,"STM Hospitality, LLC","Kevin Floyd","CEO and President"
"0001831785-21-000001",1,"Organic Amazon Corp.","Werner Batista","CEO, Director"
"0001842950-21-000001",1,"Traxler Littlejohn Enterprises, LLC","Traxler Littlejohn","CEO"
"0001793079-21-000001",1,"PiQPiQ, Inc.","Edward Lerner","CEO, Director"
"0001746059-21-000056",1,"Gorges Brewing LLC","Steven Preece","CEO"
"0001746059-21-000055",1,"Domaselo, LLC","Emil Hristov","CEO"
"0001746059-21-000054",1,"Trader's Cache, LLC","Nathaniel Morsches","Owner and CoFounder"
"0001819232-21-000002",1,"WizHero LLC","Viorel Emilian Teodorescu by Sean Fuellhart POA","CEO"
"0001746059-21-000053",1,"LOCHIEL BREWING LLC","Ian Cameron","Owner and Founder"
"0001746059-21-000052",1,"MMGT, Inc.","Gerald Christian","Owner and Founder"
"0001817190-21-000001",1,"Livewell Assisted Living, Inc","Justin Beckett by Sean Fuellhart POA","CEO"
"0001666102-21-000002",1,"SKYWIDE REAL ESTATE INTERNATIONAL LLC","Tianyuan Gu","Chairman"
"0001666102-21-000001",1,"Quasi Rent LLC","Chun Hin Leung","Founder & CEO"
"0001817144-21-000001",1,"Service Write, Inc.","David Marcus Aman","CEO, Director"
"0001670254-21-000071",1,"The Block Distilling Company, LLC","Michelle Weaver","founder & organizer (The Bookie)"
"0001665160-21-000126",1,"Swabbies Tech, Inc.","Carman Cook","CEO, Principal Executive Officer and Director"
"0001839529-21-000004",1,"Meadow Simple Living Community Development LLC","Doug Jennings","Principal of the Issuer's Managing Member"
"0001670254-21-000068",1,"AllerPops Corp","Cliff Han","Founder and CEO"
"0001835960-21-000001",1,"Audio Cardio, Inc.","Chris Ellis","CEO, Director"
"0001836525-21-000003",1,"DJ Screw Doc LLC","Joseph Litzinger","Manager"
"0001839529-21-000003",1,"Meadow Simple Living Community Development LLC","Doug Jennings","Principal of the Issuer's Managing Member"
"0001746059-21-000051",1,"R & A Culinary Creations, LLC","Roland Williams","Owner and Founder"
"0001665160-21-000123",1,"Eyedaptic, Inc.","Jay Cormier","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001687278-21-000001",1,"Vital Leaf, Inc","Christina Sasser","CEO"
"0001812932-21-000001",1,"Unikorn Inc.","Srivatsava Gorthy","Founder and CEO"
"0001780439-21-000003",1,"Lunchwale,Inc.","Gopi Kantamneni","CEO & Founder"
"0001665160-21-000121",1,"Como Audio, Inc","Thomas DeVesto","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001841741-21-000001",1,"STRUT Learning, Inc.","Mitch Schneider","CEO"
"0001665160-21-000120",1,"Honeyfund.com, Inc.","Sara Margulis","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000118",1,"Clear Genius Inc.","Harry R. Kraatz","CEO, Principal Executive Officer and Director"
"0001836525-21-000001",1,"DJ Screw Doc LLC","Joesph Paul Litzinger","Manager"
"0001746059-21-000050",1,"Los Jefes Next Level Eats, LLC","Nikki Irving","Owner and Founder"
"0001669191-21-000097",1,"TrafficGenius, Inc.","Scott Murdoch","Principal Executive Officer"
"0001829951-21-000002",1,"Swedesboro Brewing Co LLC","Kevin Bain","Officer/Member"
"0001669191-21-000094",1,"Zelgor Inc","John Fanning Jr","Principal Executive Officer"
"0001669191-21-000092",1,"MILLENNIAL FERTILITY CO. LLC","Philip Bock","Principal Executive Officer"
"0001670254-21-000066",1,"25 Bough Street Inc.","Idrees Lanre Ajakaiye","Founder, 25 Bough Street"
"0001821320-21-000001",1,"Stojo Products, Inc.","/s/ Jurrien Swarts","CEO & Director"
"0001670254-21-000065",1,"Elite Amateur Fight League, Inc.","Jesse Nunez","Founder / Executive Producer, Marine Corps Veteran"
"0001665160-21-000117",1,"SkillSoniq Inc.","Abby Verma","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001813064-21-000001",1,"PLM Brands, Corp","Elizabeth Kost","CEO"
"0001644600-21-000002",1,"EdenLedger, Inc.","Michael Golomb","Founder and CEO"
"0001665160-21-000115",1,"SkillSoniq Inc.","Abby Verma","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000113",1,"SitTight, Inc.","Scott Bahneman","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-21-000064",1,"Armbrust Inc.","Lloyd Armbrust","Founder and CEO"
"0001669191-21-000089",1,"Orbital Assembly Corporation","John Blincow","Principal Executive Officer"
"0001665160-21-000112",1,"Thalia Brands, Inc.","Chris Bradley","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001746059-21-000049",1,"Coquette LLC","Caitlin Olsen","Owner and Founder"
"0001828669-21-000001",1,"ChaseArt LLC","Jose Nicomedes Moreira","CEO"
"0001670254-21-000060",1,"Element Apothec, Inc.","Davina Fernholtz","Co-Founder & Chief Executive Officer"
"0001670254-21-000059",1,"Boaz Bike LLC","Emil I NNANI","CEO"
"0001096906-21-000148",1,"DeRosa Capital 11, LLC","/s/ Matthew Faircloth","Managing Memberhttps://www.edgarfiling.sec.gov/formCHome.html?session=uV2pF3lKGkn32e9rPf2pJ_ehAy7elI0UAPB_mURj#"
"0001746059-21-000048",1,"PIECEMEAL LLC","Justin Barrett","Owner and Founder"
"0001835175-21-000001",1,"Kibbo Inc.","Colin O'Donnell","CEO, Director"
"0001819232-21-000001",1,"WizHero LLC","Viorel Emilian Teodorescu by Sean Fuellhart POA","CEO"
"0001670254-21-000057",1,"American Ultimate Disc League, LLC","Andrew S Lloyd","Chief Financial Officer"
"0001818530-21-000001",1,"Salt Point Meadery LLC","Eric DeRise","Owner"
"0001669191-21-000087",1,"ChipBrain LLC","Lisa Vo","Principal Executive Officer"
"0001836325-21-000001",1,"Fanchise League Co LLC FCF Team 4, LLC","Sohrob Farudi","CEO"
"0001836323-21-000001",1,"Fanchise League Co LLC FCF Team 3, LLC","Sohrob Farudi","CEO"
"0001836320-21-000001",1,"Fanchise League Co LLC FCF Team 2, LLC","Sohrob Farudi","CEO"
"0001836307-21-000001",1,"Fanchise League Company, LLC - FCF Team 1 LLC","Sohrob Farudi","CEO"
"0001840594-21-000001",1,"24 HR Truck Services LLC","Victoria Fredrick","COO"
"0001670254-21-000052",1,"Fabulous Technologies Inc.","Hesam Jafari","CEO"
"0001831368-21-000001",1,"Rogue Space Systems Corp","Jeromy Grimmett by Sean Fuellhart POA","CEO"
"0001665160-21-000111",1,"MentalHappy Inc","Tamar Lucien Blue","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001841197-21-000001",1,"Western Reserve Distillers LLC","Kevin Thomas","CEO"
"0001665160-21-000110",1,"Ryca Motors, Inc.","Casey Stevenson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001746059-21-000047",1,"Big Thicket Distilling Co LLC","Jacob Mullikin","Co-Owner"
"0001665160-21-000109",1,"Capsul inc.","Tina Cheng","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001746059-21-000045",1,"Trouvaille Brewing Company, LLC","Cody Powell","CFO and Co-Owner"
"0001828174-21-000001",1,"CyH.COM LLC","Daniel Haggart","Manager"
"0001746059-21-000044",1,"Big Thicket Distilling Co LLC","Joseph Breda","CEO"
"0001830917-21-000001",1,"HighRes Labs, Inc.","Qiliang Wang by Sean Fuellhart POA","CEO"
"0001665160-21-000108",1,"Fluz App Inc","Maurice Harary","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-21-000050",1,"AppleSeed Capital, Inc. d/b/a AppleSeed Companies, Inc.","A.J. Ripin","Chief Strategy Officer & Treasurer"
"0001746059-21-000043",1,"Amani Nicol Wellness LLC","Nikia Brown Sweeney","Owner"
"0001746059-21-000042",1,"DEBELLATION BREWING CO.","David Goodell","CEO"
"0001669191-21-000085",1,"Northstar Technologies Group, Inc.","Paul Inglese","Principal Executive Officer"
"0001670254-21-000048",1,"Benevet Social Purpose Corporation","Dan Guralnick","Co-founder and CEO"
"0001826237-21-000001",1,"SLN Management, LLC","Bernardo Hasbach","CFO/COO"
"0001839529-21-000002",1,"Meadow Simple Living Community Development LLC","Doug Jennings","Principal of the Issuer's Managing Member"
"0001477932-21-000410",1,"Kiddie, Inc.","/s/ Alberto Prieto","Chief Executive Officer, Director"
"0001670254-21-000047",1,"Entre Corporation","Michael Marra","CEO"
"0001827264-21-000007",1,"TFI International Sales, Inc.","/s/Tae-Young Lee","President"
"0001835222-21-000001",1,"Guidance Enterprises LLC","Jason Ridgel","Owner"
"0001669191-21-000083",1,"WWF Holdings, Inc.","Lonnie Johnson","Principal Executive Officer"
"0001669191-21-000081",1,"Forever Young Technologies, INC","Juan  Young","Principal Executive Officer"
"0000732935-21-000002",1,"Here To Serve Holding Corp","Paul Riss by Sean Fuellhart POA","CEO"
"0001830012-21-000001",1,"DCDT LLC","David Tran","Founder, CTO, co-CEO"
"0001821386-21-000001",1,"Quim Rock, Inc.","Rachel Washtien","COO"
"0001828741-21-000001",1,"Bao Brewhouse LLC","Michael Swift","Owner"
"0001669191-21-000078",1,"WWF Holdings, Inc.","Lonnie Johnson","Principal Executive Officer"
"0001722137-21-000001",1,"Upshift Inc.","Ezra Goldman","Chief Executive Officer, President"
"0001821201-21-000002",1,"Bloomi, Inc.","Rebecca Story","CEO & Director"
"0001670254-21-000042",1,"Atense Inc","John Almeida","Founder and CEO"
"0001746059-21-000041",1,"Body Doctor, LLC","Maleek Jackson","Owner and Founder"
"0001836806-21-000001",1,"Nvstr Technologies Inc.","Bernard George","Founder & CEO"
"0001665160-21-000107",1,"Curtiss Motorcycle Company, Inc.","Herbert Matthew Chambers","Chairman/CEO"
"0001670254-21-000044",1,"SUKAD Project Portfolio Management Solutions, Corp","Mounir A. Ajam","CEO/Managing Partner/President"
"0001670254-21-000041",1,"Groomit Inc.","Sohel Kapadia","CEO"
"0001670254-21-000039",1,"productbox, Inc.","Erik Spangenberg","CEO"
"0001669191-21-000075",1,"MUSTWATCH LLC","Chelinde Edouard","Principal Executive Officer"
"0001669191-21-000073",1,"Vymedic Inc.","Cynthia Winning","Principal Executive Officer"
"0001669191-21-000071",1,"Energy Exploration Technologies, Inc.","Teague Egan","Principal Executive Officer"
"0001669191-21-000069",1,"Deuce Drone LLC","Rhett Ross","Principal Executive Officer"
"0001670254-21-000037",1,"SousZen Inc.","Stephen King","CEO"
"0001670254-21-000036",1,"Heroic Enterprises, Public Benefit Corporation","Brian Johnson","Founder and CE"
"0001830878-21-000003",1,"Craftspace, Inc.","Gregg F. Howell","COO"
"0001830878-21-000002",1,"Craftspace, Inc.","Gregg F. Howell","COO"
"0001669191-21-000067",1,"Berylline Corporation","Dennis  Dresser","Principal Executive Officer"
"0001669191-21-000062",1,"Transparent Path spc","Eric Weaver","Principal Executive Officer"
"0001669191-21-000060",1,"Hubsai, Inc.","Mike Ghodoosian","Principal Executive Officer"
"0001830878-21-000001",1,"Craftspace, Inc.","Gregg F. Howell","COO"
"0001746059-21-000040",1,"Pizza Grace, LLC","Ryan Westover","Owner and Founder"
"0001822543-21-000001",1,"Tenacity Holdings, LLC","Tessa Kennedy","President/Chief Manager"
"0001746059-21-000039",1,"Carolina Smoke LLC","Emily Dale","Owner and Manager"
"0001104659-21-006448",1,"Uroshape, LLC","/s/ Ralph Zipper","Chief Executive Officer"
"0001670254-21-000033",1,"Paw Power, Inc.","Anja Skodda","Founder / CEO"
"0001670254-21-000032",1,"HunniCo, Company","Karin Butler","CEO"
"0001670254-21-000030",1,"ASTRALABS INC.","Andrew Ryan","CEO @ASTRALABS"
"0001670254-21-000029",1,"Project M Group LLC","Enrique Abeyta Ubillos","CEO & Founder"
"0001746059-21-000038",1,"Jefferson Fry Company, LLC","Emmet Moore","Owner and CoFounder"
"0001669191-21-000057",1,"ChipBrain LLC","Lisa Vo","Principal Executive Officer"
"0001746059-21-000037",1,"Jolie Rogers, LLC","Andrew Rogers","Owner and CoFounder"
"0001746059-21-000036",1,"Brato Brewhouse & Kitchen LLC","Jonathan Gilman","Co-Founder"
"0000732935-21-000001",1,"Here To Serve Holding Corp","Paul Riss by Sean Fuellhart POA","CEO"
"0001746059-21-000035",1,"Lowe Management Services LLC","Steven Lowe","Owner and Founder"
"0001746059-21-000034",1,"Coliseum Dreams, LLC","Ranada Riley","Owner and Founder"
"0001746059-21-000033",1,"CGK ON NEWBURY LLC","Jose DeSouza","Owner and CoFounder"
"0001746059-21-000032",1,"DEBELLATION BREWING CO.","David Goodell","CEO"
"0001670254-21-000027",1,"Enclave Digital Development Company, Inc.","Rory Semple","Co-Founder"
"0001819920-21-000001",1,"8 Myles LLC","Myles Powell","President"
"0001669191-21-000055",1,"Mosquito Steve, Inc.","Steve Moore","Principal Executive Officer"
"0001670254-21-000026",1,"Vibetech Enterprises, LLC","Edward MORGAN","CFO, BOD"
"0001665160-21-000106",1,"Liberty PlugIns, Inc.","Chris Outwater","CEO, Principal Executive Officer and Director"
"0001670254-21-000024",1,"Vlogmi Corporation","Luke Thorssen","Founder and CEO"
"0001839857-21-000001",1,"ChildWise International, LLC","Jing Zhao Cesarone","CEO"
"0001670254-21-000023",1,"Pendram Inc.","Mary June Makoul","CEO and Founder"
"0001665160-21-000105",1,"Barrana Corp.","Mario Rana","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001746059-21-000031",1,"SWANDIVETUCSON, LLC","Eric Ferrone","Founder"
"0001683168-21-000199",1,"Hemp CR Inc.","/s/ Timothy Morales","Chief Executive Officer"
"0001669191-21-000053",1,"Vymedic Inc.","Cynthia Winning","Principal Executive Officer"
"0001839310-21-000001",1,"Fox & Tree Bakery LLC","Sarah Kaminski","President"
"0001665160-21-000104",1,"Real McCoy Tea Co","Chris McCoy","CEO, Principal Executive Officer and Director"
"0001839765-21-000001",1,"RYSE Creative Village Atlanta, LLC","Jabari Jackson, Sr","President/CEO"
"0001831893-21-000002",1,"Didactic, Inc.","Gagan Biyani","CEO, Director"
"0001746059-21-000030",1,"Domaselo, LLC","Emil Hristov","CEO"
"0001669191-21-000051",1,"Phoenix PharmaLabs Inc","William W Crossman","Principal Executive Officer"
"0001746059-21-000029",1,"Brubakers Cafe & Bakery, LLC","Jacob Mullikin","Co-Owner"
"0001746059-21-000028",1,"1507 Pizza N Brew, LLC","Frank Segretti","Owner and Founder"
"0001669191-21-000049",1,"Demand Derivatives Corp.","Robert Krause","Principal Executive Officer"
"0001746059-21-000027",1,"White Elephant Brewing Company, LLC","Rebecca Quisenberry","COO & CoFounder"
"0001746059-21-000026",1,"Fresh Start Market, Inc.","Bonnie Corso","President"
"0001827424-21-000002",1,"C3 Capital, Inc.","Martin Gallon","CEO"
"0001670254-21-000022",1,"Distilled Bath and Body, Inc.","Erica L Feucht","CEO"
"0001830560-21-000002",1,"Relay","Darrell Pickens","Chief Executive Officer"
"0001665160-21-000103",1,"Knack Inc.","Charles Mellen","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000102",1,"Angry Boy Inc.","Andrew Fitzgerald","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000101",1,"BookSniffer Inc.","Sean Hansen","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000099",1,"BookSniffer Inc","Sean Hansen","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001830255-21-000001",1,"2Sisters2Sons Co","Michael Brown","Co-Owner"
"0001669191-21-000047",1,"ChipBrain LLC","Lisa Vo","Principal Executive Officer"
"0001665160-21-000098",1,"Prime Lightworks Inc.","Kyle Flanagan","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001833050-21-000001",1,"DSC Hospitality LLC","Richard Stanza","Member"
"0001665160-21-000097",1,"Carnot Compression Inc.","Todd Thompson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001669191-21-000045",1,"Resolve Networks, Inc.","Ted Darr","Principal Executive Officer"
"0001669191-21-000043",1,"T2M LLC","James Anderson","Principal Executive Officer"
"0001669191-21-000041",1,"Deuce Drone LLC","Rhett Ross","Principal Executive Officer"
"0001669191-21-000039",1,"Dj Holdings, LLC","Jason Hebert","Principal Executive Officer"
"0001665160-21-000096",1,"Dan Clark Audio, Inc","Dan Clark","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001746059-21-000025",1,"Debauchery, LLC","Leanne Kubiez","Owner and Founder"
"0001665160-21-000095",1,"Learnt, Inc.","Andrew Nimmich","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000094",1,"Kebapolis LLC","Grayson M. Laird","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001796295-21-000001",1,"Nuu Rez Inc","Noelle Randall by Sean Fuellhart POA","CEO"
"0001821201-21-000001",1,"Tapa, Inc.","Benjamin Steinberg","CEO & Director"
"0001746059-21-000024",1,"ServeBot Corp.","Matthew Jones","Owner and Founder"
"0001837303-21-000002",1,"Twisted Taino Restaurant LLC","Jose Melendez","Owner"
"0001746059-21-000023",1,"Trouvaille Brewing Company, LLC","Cody Powell","CFO and Co-Owner"
"0001824984-21-000001",1,"CountertopSmart, Inc.","/s/Zachary House","CEO, Director"
"0001665160-21-000093",1,"RED EYE LOUIE'S INC","Chander Arora","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000090",1,"BookSniffer Inc.","Sean Hansen","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000089",1,"No-H2O USA Inc","Emmet O'Brien","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000088",1,"Metai Knights Media Inc","Dele Atanda","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001799343-21-000001",1,"Go Buddha LLC","Joshua Ingraham","Owner"
"0001670254-21-000020",1,"Cedar, Inc.","Adam Finke","CEO & Co-Founder"
"0001670254-21-000018",1,"Immerse Submarine Piloting LLC","Keith Crossland","Founder/Chief Aquanaut"
"0001670254-21-000017",1,"Treefort, LLC","Eric Gilbert","Festival Director, Talent Buyer, Co-Founder"
"0001683168-21-000165",1,"Hemp CR Inc.","/s/ Timothy Morales","Chief Executive Officer"
"0001840495-21-000001",1,"American Stories Entertainment Inc.","Robert Cefail by Sean Fuellhart POA","President"
"0001809750-21-000002",1,"Edible Garden Inc","s/ James Kras","Chief Executive Officer"
"0001670254-21-000016",1,"WebTez, Inc. d/b/a ModVans","Pj Tezza","Co-Founder/CEO"
"0001670254-21-000015",1,"WebTez, Inc. d/b/a ModVans","Pj Tezza","Co-Founder/CEO"
"0001669191-21-000037",1,"MUSTWATCH LLC","Chelinde Edouard","Principal Executive Officer"
"0001669191-21-000035",1,"The Feel Good Lab LLC","Ryan Gresh","Principal Executive Officer"
"0001836927-21-000001",1,"Tonic Coffee LLC","Stephanie Nicolaas","President"
"0001669191-21-000033",1,"ACK Right Endeavors LLC","Jack McDaniel","Principal Executive Officer"
"0001670254-21-000013",1,"Airthium Inc.","Andrei Klochko","CEO and Co-founder"
"0001765252-21-000001",1,"QWIKLEAF LLC","Neil Biafore","CEO"
"0001818758-21-000001",1,"ace care pharmacy management & consulting co","/s/ Wenbo Liu","CEO"
"0001823177-21-000001",1,"Million Marker Wellness, Inc.","Jenna Hua","CEO"
"0001820285-21-000002",1,"Kobrelms LLC","Joseph Yuyi","Founder & CEO"
"0001669191-21-000031",1,"Acquire Skills and Knowledge Education Inc.","Ruth Nemire","Principal Executive Officer"
"0001746059-21-000022",1,"WanderLinger Brewing Company, LLC","Christopher Dial","Owner and CoFounder"
"0001669191-21-000029",1,"Puro Trader, Inc dba Yahyn","Joshua  Leavitt","Principal Executive Officer"
"0001665160-21-000087",1,"REMUV Technologies, Inc.","Braden Reiber","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001746059-21-000021",1,"Brubakers Cafe & Bakery, LLC","Jacob Mullikin","Co-Owner"
"0001665160-21-000079",1,"Vestaboard, Inc","Dorrian Porter","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001669191-21-000027",1,"Jinglz, Inc.","David Markowski","Principal Executive Officer"
"0001669191-21-000025",1,"Monetran, LLC","Don Bielak","Principal Executive Officer"
"0001669191-21-000023",1,"Neurotez Inc.","Nikolaos Tezapsidis","Principal Executive Officer"
"0001746059-21-000020",1,"NA Brews Corp.","Ezra Bleau","Owner and Founder"
"0001746059-21-000019",1,"Welserv Industries, Inc","Steven Welser","Owner"
"0001746059-21-000018",1,"Chowderquake, LLC","Carl Lavin","Owner and Founder"
"0001719369-21-000001",1,"ALTO SOLUTIONS, INC.","Eric Satz","CEO, President & Director"
"0001780439-21-000001",1,"Encrypgen Inc.","David Richard Koepsell","Founder and CEO"
"0001665160-21-000078",1,"Quri Vodka Inc.","Jonathan E. Tourgee","CEO, Principal Executive Officer and Director"
"0001669191-21-000021",1,"Backers Inc.","Brian Tinney","Principal Executive Officer"
"0001669191-21-000019",1,"MYXR Inc","Hans Koch","Principal Executive Officer"
"0001669191-21-000017",1,"ReelwUrld, Inc","Jan  Lucanus","Principal Executive Officer"
"0001831343-21-000002",1,"LBBC Holdings LLC","Elizabeth Hartzell","Manager"
"0001669191-21-000015",1,"Zelgor Inc","John Fanning Jr","Principal Executive Officer"
"0001790166-21-000001",1,"Compound Projects, LLC","Janine Yorio","Chief Executive Officer"
"0001746059-21-000017",1,"SPORKconcepts LLC","Jeffrey Olsen","Owner"
"0001669191-21-000013",1,"PetroFunders Inc.","Ryan Werking","Principal Executive Officer"
"0001669191-21-000011",1,"GenesisAI Corporation","Archil Cheishvili","Principal Executive Officer"
"0001670254-21-000012",1,"Wingspan Health Inc","Susanne Fortunato","Founder"
"0001670254-21-000011",1,"Doodeo Inc.","Rony Hage","Founder and CEO"
"0001838793-21-000002",1,"TREND Walbrook Junction Investors LLC","Lyneir Richardson","CEO of The Chicago TREND Corporation, the manager"
"0001834389-21-000001",1,"Driftwood Oven LLC","Neil Blazin","Owner"
"0001830312-21-000002",1,"Medior Inc.","Colin Breeze","President"
"0001831343-21-000001",1,"LBBC Holdings LLC","Elizabeth Hartzell","Manager"
"0001665160-21-000061",1,"Rayton Solar, Inc.","Andrew Yakub","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001815564-21-000001",1,"Choose Health Services LLC","/s/Mark Holland","CEO, Manager"
"0001665160-21-000059",1,"Northeast Productions, Inc.","William R. Graening","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000058",1,"SurelyWell, Inc.","Asher Genoot","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000057",1,"microsurgeonbot,inc","Allan Grosvenor","CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer"
"0001727194-21-000001",1,"Jassby, Inc.","Benjamin Nachman","Founder, President, & CEO"
"0001665160-21-000056",1,"AtomBeam Technologies Inc.","Charles Yeomans","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001838793-21-000001",1,"TREND Walbrook Junction Investors LLC","Lyneir Richardson","CEO of The Chicago TREND Corporation, the manager"
"0001665160-21-000052",1,"Clearwater Distilling Co LLC","Matt Eau Claire","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000051",1,"Eli Electric Vehicles, Inc.","Binhan Li","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000050",1,"Baqua Inc.","Sandra W. Marlowe","Chief Executive officer and Chairman of the Executive Board, Principal Financial Officer and Principal Accounting Officer."
"0001665160-21-000049",1,"Charron Favreau, SPC","Kurt Charron","CEO, President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001831919-21-000002",1,"Red Feather LLC","Brad Bernstein","Owner"
"0001831919-21-000001",1,"Scoot Scoot Cold Brew LLC","Kari DeGraff","President"
"0001665160-21-000047",1,"The Bad Stuff, Inc.","Darren Enenstein","CEO, CFO, Chairman of the Board, and Director"
"0001833215-21-000001",1,"Amia Investments LLC","B. Mohammad Mehdizadehnasrabadi","Manager of Amia Management Group LLC, the Issuer's Managing Member"
"0001747584-21-000001",1,"National Energy Improvement Fund, LLC","Peter Krajsa","Managing Member"
"0001746059-21-000016",1,"Hammered Dwarf, LLC","John Flemming","Owner and CoFounder"
"0001670254-21-000010",1,"Quirktastic, Inc.","Bryanda Law","Founder and CEO"
"0001833954-21-000001",1,"Big Bear Cafe LLC","Stuart Davenport","CEO"
"0001746059-21-000015",1,"1487 Brewpub I, LLC","Benjamin King","Owner and Founder"
"0001746059-21-000014",1,"FROG JUICE INC","Carrie Greishaw","Owner and CEO"
"0001746059-21-000013",1,"Perillas Food LLC","James Choi","Owner and Founder"
"0001670254-21-000008",1,"TFT Media Ventures Inc.","Alfred Cardenas","CEO & Founder"
"0001816601-21-000001",1,"Creative 3D Technologies, Inc.","/s/ Ethan Baehrend","Founder & CEO"
"0001665160-21-000045",1,"Trella Technologies LLC","Aja Atwood","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000042",1,"BIONICLOGIC INC","Joshua Goldstein","President and CEO, Principal Executive Officer and Director"
"0001665160-21-000043",1,"Noble Naturals","David Allred","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000044",1,"Airgility, inc.","Pramod Raheja","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001828173-21-000002",1,"Verge Brewing LLC","Pete Bender","Owner Manager"
"0001665160-21-000041",1,"Signature Athletics, Inc.","Dan Soviero","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-21-000040",1,"Gift of College, Inc.","Wayne Weber","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001746059-21-000012",1,"1507 Pizza N Brew, LLC","Frank Segretti","Owner and Founder"
"0001665160-21-000036",1,"OHDF Franchise, Inc.","Dennis McKinley","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001837303-21-000001",1,"Twisted Taino Restaurant LLC","Jose Melendez","Owner"
"0001803861-21-000002",1,"MELANOID EXCHANGE LLC","Jovante Ham","President/CEO"
"0001803861-21-000001",1,"MELANOID EXCHANGE LLC","Jovante Ham","President/CEO"
"0001665160-21-000033",1,"Innovative Eyewear, Inc.","Harrison Gross","CEO, Principal Executive Officer, Director"
"0001816547-21-000001",1,"Buffd, Inc.","Benjamin Goldhaber","CEO"
"0001746059-21-000011",1,"N & M Coach Lines LLC","Noreago Drumgoole","Owner and Founder"
"0001746059-21-000010",1,"Green Grass Acres LLC","James Ridgley Jr.","Owner and Founder"
"0001829951-21-000001",1,"Swedesboro Brewing Co LLC","Kevin Bain","Co-Owner"
